 t(yr) LimitsTHETA(1) THETA(2) THETA(3) SALT(1)  SALT(2)  SALT(3)  DIC(1)   DIC(2)   DIC(3)   ALK(1)   ALK(2)   ALK(3)   PO4(1)   PO4(2)   PO4(3)   NO3(1)   NO3(2)   NO3(3)   FeT(1)   FeT(2)   FeT(3)   LT(1)    LT(2)    LT(3)    Exp(1)   Exp(2)   EXP(3)   P*  OCPCO2(1) OCPCO2(2)  OCPCO2(3) ATPCO2
    1700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.06608 2102.92436 2356.25509 2395.65237 2387.42540 2399.11404    1.83285    0.25074    2.49855   25.36476    0.05099   36.01605    0.00272    0.32662    0.57111    1.69860    1.63147    1.62450    0.50916    1.45766   -1.96682    0.26644  278.58399  270.17864  648.75298  280.00000
    1800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.07219 2102.93669 2356.63053 2395.64703 2387.42539 2399.11405    1.83182    0.25073    2.49855   25.34832    0.05096   36.01609    0.00272    0.32766    0.57213    1.70077    1.63098    1.62499    0.51007    1.45677   -1.96685    0.26685  278.60488  270.19654  651.15728  280.00000
    1900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.08067 2102.94593 2356.98815 2395.64336 2387.42538 2399.11406    1.83111    0.25073    2.49856   25.33703    0.05094   36.01611    0.00273    0.32837    0.57283    1.70226    1.63064    1.62531    0.51070    1.45616   -1.96687    0.26713  278.62827  270.20996  653.45708  280.00000
    2000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.09058 2102.95300 2357.32866 2395.64085 2387.42537 2399.11407    1.83063    0.25073    2.49856   25.32931    0.05092   36.01613    0.00273    0.32886    0.57330    1.70327    1.63040    1.62552    0.51113    1.45575   -1.96688    0.26732  278.65297  270.22022  655.65560  280.00000
    2100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.10129 2102.95854 2357.65278 2395.63914 2387.42537 2399.11407    1.83030    0.25073    2.49856   25.32404    0.05091   36.01615    0.00273    0.32919    0.57363    1.70395    1.63024    1.62565    0.51142    1.45547   -1.96689    0.26746  278.67815  270.22826  657.75628  280.00000
    2200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.11235 2102.96298 2357.96125 2395.63797 2387.42537 2399.11407    1.83008    0.25073    2.49856   25.32047    0.05091   36.01616    0.00273    0.32942    0.57385    1.70442    1.63013    1.62573    0.51162    1.45527   -1.96689    0.26755  278.70327  270.23471  659.76269  280.00000
    2300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.12346 2102.96666 2358.25476 2395.63719 2387.42537 2399.11408    1.82993    0.25073    2.49856   25.31804    0.05090   36.01616    0.00273    0.32957    0.57400    1.70473    1.63006    1.62579    0.51176    1.45514   -1.96690    0.26761  278.72795  270.24004  661.67841  280.00000
    2400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.13445 2102.96976 2358.53403 2395.63666 2387.42537 2399.11408    1.82982    0.25073    2.49856   25.31641    0.05090   36.01617    0.00273    0.32967    0.57410    1.70494    1.63001    1.62583    0.51185    1.45506   -1.96690    0.26765  278.75197  270.24456  663.50705  280.00000
    2500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.14517 2102.97246 2358.79972 2395.63630 2387.42536 2399.11408    1.82976    0.25073    2.49856   25.31531    0.05090   36.01617    0.00273    0.32974    0.57417    1.70508    1.62997    1.62585    0.51191    1.45500   -1.96690    0.26768  278.77519  270.24847  665.25215  280.00000
    2600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.15556 2102.97485 2359.05247 2395.63606 2387.42536 2399.11408    1.82971    0.25073    2.49856   25.31457    0.05089   36.01617    0.00273    0.32979    0.57421    1.70518    1.62995    1.62586    0.51195    1.45496   -1.96690    0.26769  278.79752  270.25194  666.91719  280.00000
    2700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.16557 2102.97701 2359.29291 2395.63590 2387.42536 2399.11408    1.82968    0.25073    2.49856   25.31407    0.05089   36.01617    0.00273    0.32982    0.57424    1.70524    1.62993    1.62587    0.51198    1.45493   -1.96691    0.26771  278.81893  270.25507  668.50553  280.00000
    2800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.17518 2102.97898 2359.52163 2395.63579 2387.42536 2399.11408    1.82966    0.25073    2.49856   25.31374    0.05089   36.01617    0.00273    0.32984    0.57426    1.70529    1.62992    1.62588    0.51199    1.45491   -1.96691    0.26771  278.83941  270.25793  670.02046  280.00000
    2900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.18437 2102.98080 2359.73920 2395.63572 2387.42536 2399.11408    1.82964    0.25073    2.49856   25.31352    0.05089   36.01617    0.00273    0.32986    0.57428    1.70531    1.62992    1.62588    0.51201    1.45490   -1.96691    0.26772  278.85897  270.26057  671.46516  280.00000
    3000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.19315 2102.98249 2359.94615 2395.63567 2387.42536 2399.11408    1.82963    0.25073    2.49856   25.31337    0.05089   36.01617    0.00273    0.32987    0.57429    1.70533    1.62991    1.62589    0.51201    1.45489   -1.96691    0.26772  278.87762  270.26303  672.84270  280.00000
    3100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.20153 2102.98408 2360.14301 2395.63564 2387.42536 2399.11408    1.82963    0.25073    2.49856   25.31328    0.05089   36.01617    0.00273    0.32987    0.57429    1.70535    1.62991    1.62589    0.51202    1.45489   -1.96691    0.26773  278.89540  270.26533  674.15601  280.00000
    3200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.20952 2102.98557 2360.33026 2395.63562 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31321    0.05089   36.01617    0.00273    0.32988    0.57430    1.70535    1.62991    1.62589    0.51202    1.45488   -1.96691    0.26773  278.91233  270.26750  675.40796  280.00000
    3300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.21712 2102.98698 2360.50838 2395.63560 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31317    0.05089   36.01617    0.00273    0.32988    0.57430    1.70536    1.62991    1.62589    0.51203    1.45488   -1.96691    0.26773  278.92845  270.26955  676.60127  280.00000
    3400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.22437 2102.98832 2360.67781 2395.63559 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31314    0.05089   36.01617    0.00273    0.32988    0.57430    1.70536    1.62991    1.62589    0.51203    1.45488   -1.96691    0.26773  278.94380  270.27149  677.73857  280.00000
    3500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.23126 2102.98958 2360.83897 2395.63559 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31312    0.05089   36.01617    0.00273    0.32988    0.57430    1.70536    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  278.95840  270.27332  678.82239  280.00000
    3600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.23782 2102.99078 2360.99226 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31311    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  278.97230  270.27506  679.85513  280.00000
    3700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.24406 2102.99192 2361.13807 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31310    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  278.98552  270.27672  680.83913  280.00000
    3800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.25000 2102.99300 2361.27677 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31310    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  278.99809  270.27829  681.77659  280.00000
    3900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.25565 2102.99403 2361.40869 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.01005  270.27978  682.66966  280.00000
    4000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.26103 2102.99501 2361.53418 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.02144  270.28120  683.52038  280.00000
    4100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.26614 2102.99594 2361.65354 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.03226  270.28255  684.33068  280.00000
    4200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.27100 2102.99682 2361.76708 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.04256  270.28383  685.10244  280.00000
    4300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.27562 2102.99766 2361.87508 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.05235  270.28505  685.83745  280.00000
    4400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.28002 2102.99846 2361.97781 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.06167  270.28621  686.53741  280.00000
    4500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.28421 2102.99922 2362.07552 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.07054  270.28731  687.20395  280.00000
    4600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.28819 2102.99994 2362.16846 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.07897  270.28836  687.83864  280.00000
    4700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.29197 2103.00063 2362.25687 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.08698  270.28936  688.44297  280.00000
    4800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.29558 2103.00129 2362.34096 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.09461  270.29031  689.01836  280.00000
    4900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.29900 2103.00191 2362.42095 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.10187  270.29121  689.56616  280.00000
    5000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.30226 2103.00250 2362.49704 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.10877  270.29207  690.08769  280.00000
    5100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.30536 2103.00306 2362.56941 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.11533  270.29289  690.58417  280.00000
    5200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.30830 2103.00360 2362.63825 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.12158  270.29366  691.05679  280.00000
    5300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.31111 2103.00411 2362.70373 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.12752  270.29440  691.50669  280.00000
    5400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.31377 2103.00459 2362.76601 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.13317  270.29511  691.93493  280.00000
    5500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.31631 2103.00505 2362.82526 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.13854  270.29578  692.34255  280.00000
    5600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.31872 2103.00549 2362.88161 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.14365  270.29641  692.73052  280.00000
    5700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.32102 2103.00591 2362.93521 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.14852  270.29702  693.09978  280.00000
    5800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.32320 2103.00630 2362.98620 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.15314  270.29759  693.45123  280.00000
    5900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.32528 2103.00668 2363.03470 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.15754  270.29814  693.78571  280.00000
    6000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.32725 2103.00704 2363.08083 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.16172  270.29866  694.10403  280.00000
    6100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.32913 2103.00738 2363.12471 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.16570  270.29916  694.40697  280.00000
    6200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.33092 2103.00770 2363.16645 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.16949  270.29963  694.69526  280.00000
    6300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.33262 2103.00801 2363.20615 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.17309  270.30007  694.96961  280.00000
    6400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.33423 2103.00831 2363.24391 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.17652  270.30050  695.23067  280.00000
    6500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.33577 2103.00859 2363.27983 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.17978  270.30091  695.47910  280.00000
    6600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.33723 2103.00885 2363.31400 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.18287  270.30129  695.71550  280.00000
    6700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.33862 2103.00910 2363.34650 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.18582  270.30166  695.94044  280.00000
    6800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.33995 2103.00935 2363.37741 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.18863  270.30201  696.15448  280.00000
    6900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.34121 2103.00957 2363.40682 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.19129  270.30234  696.35814  280.00000
    7000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.34240 2103.00979 2363.43479 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.19383  270.30266  696.55192  280.00000
    7100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.34354 2103.01000 2363.46139 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.19624  270.30296  696.73631  280.00000
    7200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.34462 2103.01019 2363.48670 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.19854  270.30324  696.91174  280.00000
    7300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.34565 2103.01038 2363.51077 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.20072  270.30351  697.07866  280.00000
    7400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.34663 2103.01056 2363.53367 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.20280  270.30377  697.23747  280.00000
    7500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.34757 2103.01073 2363.55545 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.20478  270.30402  697.38857  280.00000
    7600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.34845 2103.01089 2363.57616 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.20666  270.30425  697.53232  280.00000
    7700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.34930 2103.01104 2363.59587 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.20844  270.30447  697.66910  280.00000
