 t(yr) LimitsTHETA(1) THETA(2) THETA(3) SALT(1)  SALT(2)  SALT(3)  DIC(1)   DIC(2)   DIC(3)   ALK(1)   ALK(2)   ALK(3)   PO4(1)   PO4(2)   PO4(3)   NO3(1)   NO3(2)   NO3(3)   FeT(1)   FeT(2)   FeT(3)   LT(1)    LT(2)    LT(3)    Exp(1)   Exp(2)   EXP(3)   P*  OCPCO2(1) OCPCO2(2)  OCPCO2(3) ATPCO2
   19100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36568 2103.01402 2363.97863 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24316  270.30879  700.33180  280.00000
   19200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36568 2103.01402 2363.97869 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24317  270.30879  700.33224  280.00000
   19300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36568 2103.01402 2363.97875 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24317  270.30879  700.33265  280.00000
   19400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36568 2103.01402 2363.97881 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24318  270.30880  700.33304  280.00000
   19500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36569 2103.01402 2363.97886 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24318  270.30880  700.33342  280.00000
   19600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36569 2103.01402 2363.97891 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24319  270.30880  700.33377  280.00000
   19700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36569 2103.01402 2363.97896 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24319  270.30880  700.33411  280.00000
   19800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36569 2103.01402 2363.97901 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24320  270.30880  700.33444  280.00000
   19900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36569 2103.01402 2363.97905 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24320  270.30880  700.33474  280.00000
   20000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36570 2103.01402 2363.97909 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24321  270.30880  700.33503  280.00000
   20100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36570 2103.01402 2363.97913 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24321  270.30880  700.33531  280.00000
   20200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36570 2103.01402 2363.97917 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24321  270.30880  700.33558  280.00000
   20300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36570 2103.01402 2363.97921 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24322  270.30880  700.33583  280.00000
   20400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36570 2103.01402 2363.97924 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24322  270.30880  700.33607  280.00000
   20500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36570 2103.01402 2363.97927 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24322  270.30880  700.33629  280.00000
   20600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01402 2363.97930 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24322  270.30880  700.33651  280.00000
   20700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01402 2363.97933 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24323  270.30880  700.33671  280.00000
   20800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01402 2363.97936 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24323  270.30880  700.33691  280.00000
   20900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01403 2363.97939 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24323  270.30880  700.33710  280.00000
   21000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01403 2363.97941 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24323  270.30880  700.33727  280.00000
   21100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01403 2363.97944 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24324  270.30880  700.33744  280.00000
   21200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01403 2363.97946 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24324  270.30880  700.33760  280.00000
   21300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01403 2363.97948 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24324  270.30880  700.33775  280.00000
   21400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01403 2363.97950 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24324  270.30880  700.33790  280.00000
   21500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36571 2103.01403 2363.97952 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24324  270.30880  700.33804  280.00000
   21600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97954 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24325  270.30880  700.33817  280.00000
   21700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97956 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24325  270.30880  700.33829  280.00000
   21800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97958 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24325  270.30880  700.33841  280.00000
   21900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97959 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24325  270.30880  700.33852  280.00000
   22000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97961 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24325  270.30880  700.33863  280.00000
   22100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97962 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24325  270.30880  700.33873  280.00000
   22200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97964 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24325  270.30880  700.33883  280.00000
   22300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97965 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30880  700.33892  280.00000
   22400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97966 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30880  700.33901  280.00000
   22500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97968 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30880  700.33909  280.00000
   22600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97969 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30881  700.33917  280.00000
   22700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97970 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30881  700.33925  280.00000
   22800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97971 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30881  700.33932  280.00000
   22900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97972 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30881  700.33939  280.00000
   23000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97973 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30881  700.33945  280.00000
   23100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97974 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30881  700.33952  280.00000
   23200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97974 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24326  270.30881  700.33957  280.00000
   23300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97975 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.33963  280.00000
   23400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36572 2103.01403 2363.97976 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.33968  280.00000
   23500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97977 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.33973  280.00000
   23600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97977 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.33978  280.00000
   23700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97978 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.33983  280.00000
   23800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97979 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.33987  280.00000
   23900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97979 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.33991  280.00000
   24000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97980 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.33995  280.00000
   24100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97980 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.33999  280.00000
   24200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97981 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34003  280.00000
   24300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97981 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34006  280.00000
   24400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97982 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34009  280.00000
   24500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97982 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34012  280.00000
   24600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97983 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34015  280.00000
   24700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97983 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34018  280.00000
   24800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97983 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34021  280.00000
   24900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97984 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34023  280.00000
   25000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97984 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34025  280.00000
   25100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97985 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34028  280.00000
   25200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97985 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34030  280.00000
   25300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97985 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34032  280.00000
   25400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97985 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34034  280.00000
   25500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97986 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34036  280.00000
   25600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97986 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34038  280.00000
   25700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97986 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24327  270.30881  700.34039  280.00000
   25800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97986 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34041  280.00000
   25900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97987 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34042  280.00000
   26000 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97987 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34044  280.00000
   26100 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97987 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34045  280.00000
   26200 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97987 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34047  280.00000
   26300 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97987 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34048  280.00000
   26400 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97988 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34049  280.00000
   26500 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97988 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34050  280.00000
   26600 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97988 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34051  280.00000
   26700 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97988 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34052  280.00000
   26800 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97988 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34053  280.00000
   26900 213    2.00000   20.00000    4.00000   34.00000   35.50000   34.75000 2262.36573 2103.01403 2363.97988 2395.63558 2387.42536 2399.11408    1.82962    0.25073    2.49856   25.31309    0.05089   36.01617    0.00273    0.32988    0.57430    1.70537    1.62990    1.62589    0.51203    1.45488   -1.96691    0.26773  279.24328  270.30881  700.34054  280.00000
